,epochs,loss
312,312,0.021870115771889687
313,313,0.021866515278816223
314,314,0.021862946450710297
315,315,0.021859409287571907
316,316,0.02185591496527195
317,317,0.0218524020165205
318,318,0.021848948672413826
319,319,0.021845493465662003
320,320,0.021842071786522865
321,321,0.021838659420609474
322,322,0.021835267543792725
323,323,0.02183188684284687
324,324,0.021828526630997658
325,325,0.021825192496180534
326,326,0.02182183600962162
327,327,0.021818552166223526
328,328,0.0218152217566967
329,329,0.02181192673742771
330,330,0.021808648481965065
331,331,0.02180537022650242
332,332,0.02180212177336216
333,333,0.021798843517899513
334,334,0.021795596927404404
335,335,0.021792350336909294
336,336,0.021789107471704483
337,337,0.021785875782370567
338,338,0.021782636642456055
339,339,0.021779406815767288
340,340,0.021776145324110985
341,341,0.021772893145680428
342,342,0.021769657731056213
343,343,0.021766405552625656
344,344,0.021763142198324203
345,345,0.02175988256931305
346,346,0.021756600588560104
347,347,0.021753301844000816
348,348,0.021750010550022125
349,349,0.02174670621752739
350,350,0.02174338512122631
351,351,0.02174004539847374
352,352,0.021736692637205124
353,353,0.021733323112130165
354,354,0.021729938685894012
355,355,0.021726587787270546
356,356,0.0217231847345829
357,357,0.021719787269830704
358,358,0.02171638049185276
359,359,0.02171299234032631
360,360,0.021709611639380455
361,361,0.02170621044933796
362,362,0.021702827885746956
363,363,0.021699462085962296
364,364,0.02169608511030674
365,365,0.021692747250199318
366,366,0.021689383313059807
367,367,0.021686039865016937
368,368,0.021682698279619217
369,369,0.021679352968931198
370,370,0.021675994619727135
371,371,0.021672658622264862
372,372,0.021669309586286545
373,373,0.02166597731411457
374,374,0.021662643179297447
375,375,0.021659275516867638
376,376,0.021655941382050514
377,377,0.021652622148394585
378,378,0.02164926938712597
379,379,0.021645933389663696
380,380,0.021642595529556274
381,381,0.02163924276828766
382,382,0.02163592539727688
383,383,0.021632593125104904
384,384,0.021629242226481438
385,385,0.021625926718115807
386,386,0.021622594445943832
387,387,0.0216192826628685
388,388,0.02161596529185772
389,389,0.021612659096717834
390,390,0.02160932868719101
391,391,0.021606015041470528
392,392,0.021602705121040344
393,393,0.021599413827061653
394,394,0.021596111357212067
395,395,0.02159278653562069
396,396,0.02158949337899685
397,397,0.021586187183856964
398,398,0.021582908928394318
399,399,0.021579626947641373
400,400,0.02157634124159813
401,401,0.02157304249703884
402,402,0.02156977728009224
403,403,0.02156650647521019
404,404,0.02156323380768299
405,405,0.021559957414865494
406,406,0.02155672013759613
407,407,0.02155345119535923
408,408,0.021550185978412628
409,409,0.02154693193733692
410,410,0.021543677896261215
411,411,0.021540433168411255
412,412,0.021537184715270996
413,413,0.02153397910296917
414,414,0.021530719473958015
415,415,0.021527480334043503
416,416,0.021524256095290184
417,417,0.02152102068066597
418,418,0.021517790853977203
419,419,0.021514588966965675
420,420,0.02151135355234146
421,421,0.021508147940039635
422,422,0.02150493673980236
423,423,0.021501734852790833
424,424,0.0214985478669405
425,425,0.021495327353477478
426,426,0.021492119878530502
427,427,0.021488916128873825
428,428,0.021485719829797745
429,429,0.021482525393366814
430,430,0.02147933840751648
431,431,0.02147613652050495
432,432,0.021472962573170662
433,433,0.021469775587320328
434,434,0.021466592326760292
435,435,0.021463414654135704
436,436,0.02146022394299507
437,437,0.02145705185830593
438,438,0.021453894674777985
439,439,0.021450717002153397
440,440,0.02144753746688366
441,441,0.02144436538219452
442,442,0.021441180258989334
443,443,0.021437998861074448
444,444,0.021434852853417397
445,445,0.021431680768728256
446,446,0.021428517997264862
447,447,0.021425358951091766
448,448,0.02142222225666046
449,449,0.02141905389726162
450,450,0.021415887400507927
451,451,0.021412720903754234
452,452,0.021409550681710243
453,453,0.021406402811408043
454,454,0.021403251215815544
455,455,0.021400097757577896
456,456,0.021396923810243607
457,457,0.021393775939941406
458,458,0.02139062061905861
459,459,0.021387463435530663
460,460,0.02138429880142212
461,461,0.02138114534318447
462,462,0.021377991884946823
463,463,0.021374808624386787
