,epochs,SY0
510,510,0.41857582
511,511,0.41857085
512,512,0.41856617
513,513,0.41856113
514,514,0.41855606
515,515,0.41855118
516,516,0.4185461
517,517,0.4185417
518,518,0.41853684
519,519,0.41853306
520,520,0.41852835
521,521,0.41852465
522,522,0.41851994
523,523,0.4185153
524,524,0.41851032
525,525,0.41850486
526,526,0.41850007
527,527,0.41849473
528,528,0.41849056
529,529,0.41848576
530,530,0.41848192
531,531,0.41847742
532,532,0.41847324
533,533,0.41846853
534,534,0.4184638
535,535,0.41845888
536,536,0.41845378
537,537,0.418449
538,538,0.418444
539,539,0.41843972
540,540,0.41843486
541,541,0.41843092
542,542,0.41842598
543,543,0.4184221
544,544,0.418417
545,545,0.41841248
546,546,0.4184072
547,547,0.41840202
548,548,0.4183969
549,549,0.4183916
550,550,0.41838703
551,551,0.41838193
552,552,0.41837814
553,553,0.41837308
554,554,0.4183696
555,555,0.4183645
556,556,0.41835994
557,557,0.41835463
558,558,0.41834894
559,559,0.41834384
560,560,0.41833794
561,561,0.41833368
562,562,0.41832846
563,563,0.41832477
564,564,0.41831988
565,565,0.41831574
566,566,0.41831067
567,567,0.41830567
568,568,0.41830045
569,569,0.4182949
570,570,0.41829002
571,571,0.41828457
572,572,0.41828027
573,573,0.418275
574,574,0.4182709
575,575,0.41826537
576,576,0.41826072
577,577,0.4182549
578,578,0.41824937
579,579,0.41824335
580,580,0.41823724
581,581,0.41823152
582,582,0.41822538
583,583,0.41821998
584,584,0.41821373
585,585,0.41820827
586,586,0.41820174
587,587,0.4181956
588,588,0.41818857
589,589,0.41818148
590,590,0.41817415
591,591,0.41816634
592,592,0.4181588
593,593,0.4181504
594,594,0.41814217
595,595,0.41813302
596,596,0.41812333
597,597,0.41811278
598,598,0.41810083
599,599,0.41808775
600,600,0.4180721
601,601,0.41805336
602,602,0.41802818
603,603,0.41798696
604,604,0.41788337
605,605,0.4177693
606,606,0.4176962
607,607,0.41765824
608,608,0.41766155
609,609,0.4176855
610,610,0.41768816
611,611,0.4176065
612,612,0.41753185
613,613,0.41747162
614,614,0.41742647
615,615,0.41737458
616,616,0.41731888
617,617,0.41726902
618,618,0.4172136
619,619,0.41715515
620,620,0.41711065
621,621,0.41707632
