,epochs,Hp
809,809,0.19705452
810,810,0.19706263
811,811,0.19707072
812,812,0.19707876
813,813,0.19708678
814,814,0.19709477
815,815,0.19710274
816,816,0.1971107
817,817,0.1971186
818,818,0.19712648
819,819,0.19713433
820,820,0.19714214
821,821,0.19714993
822,822,0.19715768
823,823,0.19716543
824,824,0.19717312
825,825,0.19718078
826,826,0.19718844
827,827,0.19719605
828,828,0.19720365
829,829,0.1972112
830,830,0.19721873
831,831,0.19722623
832,832,0.1972337
833,833,0.19724117
834,834,0.19724861
835,835,0.197256
836,836,0.19726336
837,837,0.19727069
838,838,0.19727802
839,839,0.19728531
840,840,0.19729258
841,841,0.19729982
842,842,0.19730704
843,843,0.1973142
844,844,0.19732136
845,845,0.1973285
846,846,0.1973356
847,847,0.19734268
848,848,0.19734974
849,849,0.19735678
850,850,0.19736376
851,851,0.19737074
852,852,0.19737768
853,853,0.1973846
854,854,0.1973915
855,855,0.19739836
856,856,0.19740522
857,857,0.19741204
858,858,0.19741885
859,859,0.19742563
860,860,0.19743238
861,861,0.19743912
862,862,0.19744582
863,863,0.19745249
864,864,0.19745913
865,865,0.19746575
866,866,0.19747233
867,867,0.1974789
868,868,0.19748545
869,869,0.19749197
870,870,0.19749847
871,871,0.19750495
872,872,0.1975114
873,873,0.19751783
874,874,0.19752423
875,875,0.19753063
876,876,0.19753698
877,877,0.19754331
878,878,0.19754963
879,879,0.19755591
880,880,0.19756219
881,881,0.19756842
882,882,0.19757465
883,883,0.19758084
884,884,0.19758701
885,885,0.19759315
886,886,0.19759928
887,887,0.19760539
888,888,0.19761147
889,889,0.19761752
890,890,0.19762355
891,891,0.19762956
892,892,0.19763555
893,893,0.1976415
894,894,0.19764744
895,895,0.19765335
896,896,0.19765925
897,897,0.19766511
898,898,0.19767097
899,899,0.19767678
900,900,0.19768257
901,901,0.19768836
902,902,0.19769411
903,903,0.19769983
904,904,0.19770554
905,905,0.19771124
906,906,0.19771692
907,907,0.19772258
908,908,0.19772822
909,909,0.19773382
910,910,0.1977394
911,911,0.19774498
912,912,0.19775052
913,913,0.19775604
914,914,0.19776154
915,915,0.197767
916,916,0.19777244
917,917,0.19777787
918,918,0.19778329
919,919,0.1977887
920,920,0.19779408
921,921,0.19779943
922,922,0.19780475
923,923,0.19781007
924,924,0.19781534
925,925,0.1978206
926,926,0.19782585
927,927,0.19783106
928,928,0.19783626
929,929,0.19784147
930,930,0.19784662
931,931,0.19785178
932,932,0.19785689
933,933,0.19786198
934,934,0.19786708
935,935,0.19787216
936,936,0.19787721
937,937,0.19788224
938,938,0.19788724
939,939,0.19789223
940,940,0.19789723
941,941,0.19790217
942,942,0.1979071
943,943,0.19791202
944,944,0.19791692
945,945,0.19792181
946,946,0.19792667
947,947,0.19793151
948,948,0.19793633
949,949,0.19794112
950,950,0.1979459
951,951,0.19795066
952,952,0.19795541
953,953,0.19796012
954,954,0.19796483
955,955,0.19796951
956,956,0.19797416
957,957,0.19797876
958,958,0.19798337
959,959,0.19798793
960,960,0.19799249
961,961,0.19799702
962,962,0.1980015
963,963,0.198006
964,964,0.19801046
965,965,0.1980149
966,966,0.19801933
967,967,0.19802372
968,968,0.19802809
969,969,0.19803244
970,970,0.19803676
971,971,0.19804107
972,972,0.19804534
973,973,0.1980496
974,974,0.19805384
975,975,0.19805804
976,976,0.19806223
977,977,0.19806638
978,978,0.19807054
979,979,0.19807468
980,980,0.1980788
981,981,0.1980829
982,982,0.19808696
983,983,0.198091
984,984,0.19809502
985,985,0.19809905
986,986,0.19810304
987,987,0.19810702
988,988,0.19811097
989,989,0.1981149
990,990,0.1981188
991,991,0.19812271
992,992,0.19812658
993,993,0.19813044
994,994,0.19813427
995,995,0.19813809
996,996,0.1981419
997,997,0.19814569
998,998,0.19814944
999,999,0.19815318
