,epochs,lmbd
205,205,0.563596
206,206,0.5635871
207,207,0.5635783
208,208,0.56356955
209,209,0.56356084
210,210,0.56355226
211,211,0.56354374
212,212,0.56353533
213,213,0.5635269
214,214,0.56351864
215,215,0.5635104
216,216,0.56350225
217,217,0.56349415
218,218,0.56348616
219,219,0.5634782
220,220,0.56347024
221,221,0.5634623
222,222,0.56345457
223,223,0.5634469
224,224,0.5634392
225,225,0.5634315
226,226,0.56342393
227,227,0.56341654
228,228,0.5634091
229,229,0.56340164
230,230,0.5633943
231,231,0.5633869
232,232,0.5633797
233,233,0.56337255
234,234,0.56336546
235,235,0.5633583
236,236,0.5633514
237,237,0.5633445
238,238,0.56333756
239,239,0.56333077
240,240,0.5633238
241,241,0.5633169
242,242,0.56331015
243,243,0.56330335
244,244,0.5632967
245,245,0.56329006
246,246,0.56328344
247,247,0.56327707
248,248,0.5632707
249,249,0.5632643
250,250,0.5632579
251,251,0.5632514
252,252,0.56324494
253,253,0.56323856
254,254,0.56323224
255,255,0.5632261
256,256,0.56321996
257,257,0.56321394
258,258,0.56320786
259,259,0.5632018
260,260,0.5631957
261,261,0.56318957
262,262,0.5631836
263,263,0.5631777
264,264,0.5631719
265,265,0.5631661
266,266,0.56316024
267,267,0.5631545
268,268,0.5631487
269,269,0.5631429
270,270,0.5631372
271,271,0.56313145
272,272,0.56312585
273,273,0.5631202
274,274,0.5631147
275,275,0.5631093
276,276,0.56310385
277,277,0.56309843
278,278,0.56309295
279,279,0.56308746
280,280,0.56308204
281,281,0.5630767
282,282,0.56307137
283,283,0.56306624
284,284,0.56306106
285,285,0.5630559
286,286,0.56305057
287,287,0.5630453
288,288,0.56304026
289,289,0.56303525
290,290,0.5630302
291,291,0.56302524
292,292,0.5630203
293,293,0.5630153
294,294,0.5630104
295,295,0.5630055
296,296,0.5630007
297,297,0.56299585
298,298,0.5629911
299,299,0.5629864
300,300,0.56298155
301,301,0.5629767
302,302,0.56297195
303,303,0.5629674
304,304,0.56296295
305,305,0.5629586
306,306,0.5629541
307,307,0.56294954
308,308,0.5629449
309,309,0.5629403
310,310,0.56293577
311,311,0.5629315
312,312,0.5629274
313,313,0.56292325
314,314,0.56291896
315,315,0.5629146
316,316,0.56291026
317,317,0.56290597
318,318,0.5629019
319,319,0.56289786
320,320,0.5628939
321,321,0.56288993
322,322,0.56288576
323,323,0.5628816
324,324,0.5628776
325,325,0.56287366
326,326,0.56286985
327,327,0.56286603
328,328,0.5628621
329,329,0.5628582
330,330,0.5628544
331,331,0.56285065
332,332,0.5628469
333,333,0.56284326
334,334,0.5628395
335,335,0.5628358
336,336,0.5628321
337,337,0.5628286
338,338,0.562825
339,339,0.56282157
340,340,0.562818
341,341,0.56281453
342,342,0.56281096
343,343,0.56280744
344,344,0.562804
345,345,0.56280065
346,346,0.56279737
347,347,0.5627941
348,348,0.56279075
349,349,0.56278723
350,350,0.5627839
351,351,0.5627807
352,352,0.5627775
353,353,0.5627745
354,354,0.5627713
355,355,0.56276816
356,356,0.56276494
357,357,0.5627618
358,358,0.56275874
359,359,0.56275564
360,360,0.56275266
361,361,0.5627497
362,362,0.56274676
363,363,0.5627438
364,364,0.56274086
365,365,0.5627379
366,366,0.56273496
367,367,0.56273204
368,368,0.5627291
369,369,0.56272626
370,370,0.5627235
371,371,0.5627207
372,372,0.562718
373,373,0.56271523
374,374,0.56271243
375,375,0.5627098
376,376,0.5627071
377,377,0.56270444
378,378,0.5627018
379,379,0.5626992
380,380,0.56269664
381,381,0.5626941
382,382,0.56269145
383,383,0.5626889
384,384,0.5626864
385,385,0.56268406
386,386,0.5626817
387,387,0.5626791
388,388,0.5626766
389,389,0.5626742
390,390,0.5626719
391,391,0.56266946
392,392,0.5626671
393,393,0.5626648
394,394,0.5626625
395,395,0.5626602
